Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
MOTOROLA,150,3.0,1.5,952.69,2024,49999,57798,40,1.0,4.2,1431,191
Voltas,150,3.0,1.5,859.325,2025,33850,64900,47,5.0,4.2,76440,6627
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,3.0,1.5,859.325,2025,35490,78290,54,5.0,4.1,35239,3226
Haier,200,5.0,1.6,859.325,2025,45990,78200,41,1.0,4.1,179,16
Sansui,90,3.0,1.0,859.325,2025,52990,57798,40,1.0,4.1,2661,479
CARRIER,90,3.0,1.0,859.325,2026,29990,55100,45,1.0,4.2,13023,1541
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Sansui,150,5.0,1.5,859.325,2024,31990,57490,44,1.0,4.1,10652,2264
Daikin,150,3.0,1.5,1099.44,2022,38593,55600,30,1.0,4.2,20497,1541
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,5.0,1.0,518.75,2025,32990,58890,43,1.0,4.2,1851,234
LG,150,5.0,1.5,744.54,2024,41936,85990,51,1.0,4.2,42295,4041
Lloyd,150,3.0,1.5,990.77,2025,36990,63490,41,1.0,4.1,19215,2111
MOTOROLA,200,3.0,2.0,1281.64,2025,39990,68199,41,1.0,4.4,381,58
Godrej,150,3.0,1.5,905.41,2024,35490,55900,36,5.0,4.0,18307,1520
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
MITASHI,90,3.0,1.0,765.59,2018,29500,40500,27,5.0,4.1,1420,361
Sansui,150,5.0,1.5,859.325,2025,63990,57798,40,1.0,4.1,10652,2264
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Godrej,90,3.0,0.8,513.39,2024,37700,57798,40,5.0,4.0,380,27
Lloyd,150,3.0,1.5,1180.51,2023,25990,43990,40,1.0,4.1,3118,334
LG,150,5.0,1.5,744.75,2025,84990,57798,40,1.0,4.2,42295,4041
Godrej,150,5.0,1.5,859.325,2024,31699,60999,48,5.0,4.0,622,61
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Blue Star,90,3.0,0.8,859.325,2025,23290,27600,15,1.0,4.1,495,33
Voltas,150,3.0,1.5,859.325,2025,31400,54990,42,1.0,4.2,76440,6627
